Name	Total
Kepa Arrizabalaga	163
Leandro Paredes	161
Bright Osayi-Samuel	150
Robert Lynch Sanchéz	160
Ben Chilwell	169
Romain Perraud	160
Tyler Adams	157
Jorge Sánchez	155
Odsonne Edouard	158
Joakim Mæhle	157
Marcos Senesi	162
Jairo Torres	150
Juan Foyth	159
Enis Bardhi	155
Krépin Diatta	157
Jonathan Clauss	158
Michaël Cuisance	153
Ozan Kabak	153
Saša Kalajdžić	159
Armando Obispo	154
Josha Vagnoman	150
Hugo Duro Perales	158
Jovane Eduardo Borges Cabral	160
Mykola Shaparenko	162
Javier Puado Díaz	162
Tomás Franco Tavares	155
Sekou Koita	155
Manor Solomon	162
Odilon Kossounou	158
Brenden Aaronson	154
Gastón Ávila	151
Romário Manuel Silva Baró	152
Fernando Niño Rodríguez	156
Miguel Azeez	145
Patrick Wimmer	158
Moisés Caicedo	144
Wahid Faghir	148
Isaak Touré	142
Yan Bueno Couto	153
Rav van den Berg	141
Sidney Raebiger	147
Giorgi Mamardashvili	160
Vanderson de Oliveira Campos	157
Daniel Samek	155
Samuele Vignato	147
Jesús Navas González	168
Ben Foster	154
Olivier Giroud	162
Nemanja Matić	158
Henrikh Mkhitaryan	162
Alphonse Areola	164
Danilo Luiz da Silva	160
Allan Marques Loureiro	162
Matthias Ginter	167
Abdoulaye Doucouré	158
Piotr Zieliński	165
Enzo Zidane	129
Anthony Martial	163
Kingsley Coman	171
Pierre-Emile Højbjerg	166
Aleksandar Mitrović	157
Seko Fofana	163
Alexandre Moreno Lopera	160
Ante Rebić	162
Marco Asensio Willemsen	167
Rick Karsdorp	160
Kelechi Iheanacho	159
Todd Cantwell	155
Nicolas Pépé	161
Romain Faivre	162
Yukinari Sugawara	156
Álex Collado Gutiérrez	145
Joe Scally	153
Nehuén Pérez	156
Lovro Majer	161
Santiago Giménez	154
Jamie Shackleton	150
Yari Verschaeren	156
Lucien Agoumé	153
Mohamed Ihattaren	156
Malcolm Barcola	132
Crysencio Summerville	149
Tiago Emanuel Embaló Djaló	157
Brian Ocampo	157
Byron Castillo	157
Leo Hjelde	145
Charlie Cresswell	147
Musa Juwara	149
Reinier Jesus Carvalho	151
Jahkeele Marshall-Rutty	139
Carlos Alcaraz	153
Adrien Truffert	157
Tyrhys Dolan	151
Lesley Ugochukwu	149
Nicolas Seiwald	157
Brandon Soppy	149
Eliot Matazo	155
Abdallah Sima	156
Cătălin Cîrjan	140
Exequiel Zeballos	146
Brahim Traoré	142
Linus Gechter	146
Matìas Soulé	150
Amourricho van Axel Dongen	148
Wayne Rooney	152
Bafétimbi Gomis	154
Daniel Sturridge	144
Marko Marin	144
İlkay Gündoğan	170
Jack Wilshere	146
Thibaut Courtois	180
Mario Götze	162
Bernd Leno	162
Juan Cuadrado	166
James Rodríguez	162
Álvaro Borja Morata Martín	162
Felipe Anderson Pereira Gomes	158
Thorgan Hazard	162
Šime Vrsaljko	160
Gerard Moreno Balagueró	172
Raphaël Guerreiro	166
Philipp Max	156
Jonathan Tah	165
Alex Iwobi	154
Joaquín Correa	163
Rafael A. Ferreira Silva	164
Nabil Fekir	170
Renato Tapia	162
Harry Wilson	155
Timothy Castagne	161
Kristoffer Ajer	158
Marcos Acuña	168
Stephy Mavididi	158
Reece Oxford	154
Sander Berge	156
Philipp Lienhart	157
Timothy Fosu-Mensah	152
Robin Le Normand	163
Jacob Sørensen	148
Pablo Rosario	158
Carlos Acevedo	158
Salih Özcan	157
Auston Trusty	146
Esequiel Barco	159
Óscar Melendo Jiménez	160
Antonín Barák	161
Patrick Cutrone	151
Amadou Haidara	161
Emmanuel Dennis	155
Ákos Kecskés	135
Andreas Skov Olsen	153
Luca Zidane	145
Youcef Atal	154
Unai Núñez Gestoso	162
Eljif Elmas	158
Mehdi Taremi	160
Lazar Samardžić	146
Pablo Solari	153
Óscar Mingueza García	156
Alan Varela	152
Quentin Merlin	149
Fodé Fofana	147
Ferran Jutglà Blanch	141
Jason Denayer	159
David Brooks	158
Clément Lenglet	163
Davinson Sánchez	159
Mariano Díaz Mejía	150
Victor Lindelöf	162
Tosin Adarabioyo	158
Mathias Normann	157
Isaac Success	147
Enes Ünal	156
Ainsley Maitland-Niles	156
Josh Cullen	153
Jeff Reine-Adélaïde	155
Kasper Dolberg	160
Joe Rodon	153
Stefano Sensi	161
Javier Galán Gil	153
Mauro Arambarri	165
Yangel Herrera	160
Patrik Schick	167
Nikolai Alho	132
Florentino Morris Luís	157
Florian Neuhaus	166
Vitaly Janelt	155
Sebastian Szymański	157
Tomáš Souček	166
Kiernan Dewsbury-Hall	152
Nahuel Bustos	153
Ibrahima Diallo	156
Caoimhin Kelleher	153
Andoni Gorosabel Espinosa	159
Héctor Junior Firpo Adamés	153
Jesus Ferreira	156
Perr Schuurs	157
Stanley Nsoki	148
Konstantinos Mavropanos	156
Jack Clarke	148
Luis Romo	157
Ian Poveda	149
Keven Schlotterbeck	148
Luís Manuel Arantes Maximiano	163
Sergio Reguilón Rodríguez	165
Georginio Rutter	153
Fabrice Hartmann	133
Lassina Traoré	158
Bryan Gil Salvatierra	164
Alexandro Bernabei	151
Mateus Tetê	162
Gustavo Enrique Assunção da Silva	149
Joshua Zirkzee	152
Ignace Van der Brempt	148
Randy Nteka	153
Brian Brobbey	154
Ismail Jakobs	152
Taylor Harwood-Bellis	151
Leonardo Fernández	158
Tomás Aresta Machado Ribeiro	153
Lukáš Provod	159
David Ayala	151
Pedro Victor Delmino da Silva	156
Andrés Iniesta Luján	158
James Milner	156
Vincent Kompany	164
Stavros Georgiou	121
Alejandro Gómez	168
Scott Carson	132
Hugo Lloris	174
Dimitri Payet	164
Simon Kjær	166
Edin Džeko	168
Leonardo Bonucci	170
Kieran Trippier	168
Xherdan Shaqiri	154
Ricardo Rodríguez	148
Luis Alberto Romero Alconchel	166
Ross Barkley	152
Cédric Ricardo Alves Soares	150
Danny da Costa	148
James Tarkowski	160
Jed Wallace	148
Patrick Bamford	156
Mateo Kovačić	169
Bertrand Traoré	154
Hakan Çalhanoğlu	164
Christian Günter	160
Yassine Bounou	164
Paul Ebere Onuachu	158
Leander Dendoncker	155
Sardar Azmoun	161
Darío Benedetto	150
Marcelo Brozović	168
Georges-Kévin Nkoudou	150
Gonzalo Plata	162
Raoul Bellanova	149
Jeremy Ngakia	151
Konan N'Dri	149
Loïc Mbe Soh	142
Mateu Jaume Morey Bauzá	154
Daniel Santos Bragança	159
Manuel Sánchez de la Peña	157
Manuel Ugarte	158
Talles Magno Bacelar Martins	151
Elliot Anderson	145
Alejandro Francés Torrijo	152
Tayvon Gray	138
Kevin Paredes	138
Reo Hatate	147
Omar Marmoush	153
Konrad de la Fuente	155
Sinaly Diomande	154
João Mário Neto Lopes	159
Marvin Olawale Akinlabi Park	146
Tiago Fontoura F. Morais	146
Etienne Green	156
Jayden Braaf	148
Marcelo Flores	138
Andrew Omobamidele	148
Alberto Moleiro González	152
Jorge Ruvalcaba	134
Davy Klaassen	156
Alessandro Florenzi	158
Eran Zahavi	156
Benjamin Mendy	159
Calum Chambers	151
Pablo Marí Villar	151
Joël Veltman	154
Filip Kostić	168
Emerson Palmieri dos Santos	155
Moussa Dembélé	159
Thomas Strakosha	161
Ricardo Jorge da Luz Horta	159
Alexander Sørloth	157
Giovanni Simeone	157
Ignacio Pussetto	150
Pau López Sabata	163
Harry Winks	157
Wout Weghorst	160
Alexandr Golovin	162
Ché Adams	157
Fabián Ruiz Peña	166
André Miguel Valente da Silva	167
Branco van den Boomen	147
Lukas Klünter	144
Joe Aribo	152
Gonzalo Montiel	161
Yann Karamoh	156
Yeferson Soteldo	156
Gedson Carvalho Fernandes	158
Josip Brekalo	161
Yan Brice Eteki	158
Omar Richards	153
Josh Maja	150
Rúben Nascimento Vinagre	156
Christian Früchtl	142
Malang Sarr	154
Pol Mikel Lirola Kosok	156
Reinildo Isnard Mandava	154
Ben Woodburn	144
Eduard Atuesta	157
Germán Berterame	157
Pervis Estupiñán	162
Robin Hack	147
Matvey Safonov	158
Teun Koopmeiners	162
Ludovit Reis	150
Matt O'Riley	147
David Martínez	155
Pape Gueye	159
Yann Aurel Bisseck	147
Sepp van den Berg	152
Noah Okafor	156
Cristian Cásseres Jr	149
Jurgen Ekkelenkamp	151
Felix Agu	151
Jayden Bogle	155
Ersin Destanoğlu	154
Silas Katompa Mvumpa	157
Alessio Riccardi	135
Thierry Henry	158
Carlos Vela	162
Claudio Bravo	156
Alexandre Rodrigues da Silva	144
Andy Carroll	142
Fabian Delph	150
Luke Ayling	152
Iker Muniain Goñi	168
Thomas Müller	174
Keylor Navas	176
Idrissa Gueye	164
Antoine Griezmann	170
Steven Berghuis	164
Gabriel Armando de Abreu	164
Emiliano Martínez	169
Nikola Vlašić	163
Viktor Gyökeres	148
Ben Johnson	149
Josh Sargent	149
Stephen Antunes Eustáquio	158
Nathan Ferguson	146
Linton Maina	146
Lars Lukas Mai	142
Jaidon Anthony	147
Deniz Undav	153
Uroš Račić	159
Adam Idah	146
Vladimír Coufal	160
Idekel Domínguez	143
Carlos Vinícius Alves Morais	155
Alhassan Yusuf	151
Roberto González Bayón	150
Samuel Chukwueze	161
Daizen Maeda	145
Lucas Silva Melo	156
Unai Vencedor Paris	160
Lee Buchanan	146
Angelo Stiller	150
Kelvin Yeboah	146
Darko Churlinov	144
Anouar Ait El Hadj	152
Konstantinos Tzolakis	148
Emre Demir	144
Arnaud Kalimuendo	157
Erik López	142
Cody Drameh	147
Daryl Dike	153
Simon Ngapandouetnbu	144
Paulos Abraham	147
Márton Dárdai	154
Maduka Okoye	154
Saïdou Sow	151
Rodrigo Sánchez Rodríguez	155
Sang Bin Jeong	144
Shola Shoretire	146
Édouard Michut	148
Luke Mbete	144
Miguel Gutiérrez Ortega	149
Paulo Guilherme Gonçalves Bernardo	151
Thomas Meunier	156
Joel Campbell	150
Cristian Portugues Manzanera	160
Leandro Trossard	156
Lucas Vázquez Iglesias	162
Adrien Rabiot	163
Jonas Hofmann	160
Rui Tiago Dantas da Silva	165
Stole Dimitrievski	155
Odisseas Vlachodimos	164
José Pedro Malheiro de Sá	163
Benjamin Bourigeaud	158
Giovanni Di Lorenzo	162
Antonio Sanabria	153
Munir El Haddadi	159
Mattia Zaccagni	157
Saïd Benrahma	159
Rafael Santos Borré	155
Freddie Woodman	153
Rúnar Alex Rúnarsson	144
Ozan Tufan	151
Adam Marušić	158
Erick Aguirre	153
Jérémie Boga	157
Jesús Vallejo Lázaro	154
Eric Bailly	155
Aritz Elustondo	162
Juninho Bacuna	147
Frédéric Guilbert	155
Jordan Siebatcheu	150
Suleiman Abdullahi	137
Kamil Grabara	150
Ezequiel Ávila	158
César Montes	155
Welington Kauê Dano Nascimento	162
Jamal Lewis	151
Diogo António Cupido Gonçalves	153
Keinan Davis	147
Jack Harrison	157
Sam Surridge	142
Jonathan Ikoné	160
Youssef En-Nesyri	168
Lucas Veríssimo da Silva	163
Andrea Pinamonti	154
Cengiz Ünder	161
Alberth Elis	153
Fabricio Bustos	155
Aymen Barkok	150
Anthony Caci	156
Marcus Tavernier	152
Randal Kolo Muani	161
Diego Lainez	157
Rhian Brewster	149
Eduardo Gabriel Aquino Cossa	155
Woo Yeong Jeong	150
Jann-Fiete Arp	141
Emanuel Vignato	151
Nicolás González	162
Mathías Olivera	159
Marcelo Saracchi	153
